stay_id,location,start_date,end_date,purpose
nameless_exit,"Lecco, Italy",29-May,02-Jun,Nameless Festival wrap-up & baseline node initialization
julian_alps,"Bled, Slovenia",02-Jun,10-Jun,Hiking
solo_berlin,"Berlin, Germany",10-Jun,16-Jun,Techno
solo_rotterdam,"Rotterdam, Netherlands",17-Jun,20-Jun,
solo_london,"London, UK",20-Jun,25-Jun,Art & UK Garage
solo_bristol,"Bristol, UK",25-Jun,29-Jun,Drum and Bass
dundee_pickup,"St Andrews, Scotland",29-Jun,06-Jul,Pipeline Merge: Reconnect with family for Caden's Graduation
